food,calories(100g),weight_consumed
Eggs,155,
Bread,265,
Butter,717,
Oatmeal,68,
Milk,42,
Banana,89,
Yogurt,59,
Bacon,541,
Cheese,402,
Coffee,2,
Pancakes,227,
Orange juice,45,
Hash Browns,326,
Granola,489,
Tea,1,
